name,lat,long,cat,info
Ann Arbor,42.2764424949394,-83.746989706249,riding,My hometown - grew up without a car commuting by bike in this area
New Haven,41.3109477861202,-72.9315392517621,riding,Lived in the New Haven area for 5+ years
"Des Moines, IA",41.5493826854128,-93.6739538983322,race,Raced at Flatland Junior Elite Cup 2016.
West Virginia,39.4328781307034,-77.8071932552027,riding,Crossed into West Virginia twice while biking C&O Canal from Washington to Cumberland in 2021. Visited Paw Paw and Shepherdstown
"Lancaster, PA",39.966358816533,-76.4510449417135,riding,Mom and I rented some bikes to take a cruise in summer 2017 while I was working as an RA at a summer camp
Wisconsin,45.9436708291921,-88.2959268689178,riding,"Zack and I did a century ride in summer 2020 from Iron Mountain, MI. We crossed into Wisconsin for ~30 miles of the ride"
"Pleasant Prairie, WI",42.5496204386509,-87.9397357195568,race,"Raced at Pleasant Prairie Junior Elite Cup in 2015 - my first draft legal triathlon! 
                                Unfortunately got DQ'd for being too slow at this one - but learned a lot for next year"
Mackinac Island,45.7600432366273,-84.4580426164406,riding,Only US Highway without cars. Summer 2020
Fat tire bike,45.0334878074224,-84.6279740131838,riding,Fat tire bike! Winter 2021 with Christoph
Detroit,42.3607886949625,-83.1112943198447,riding,"Decided to bike from Ann Arbor to Detroit and back again. Was this a good idea?
                                Maybe. Probably. I got to see a lot. Summer 2020"
"South Haven, MI",42.3894565650395,-86.2796922931415,riding,Halfway point between Evanston and Ann Arbor for COVID quarantine rides with Zack in spring/summer 2020
"Tuscaloosa, AL",33.2087730774816,-87.569039264662,race,"Raced at Collegiate Triathlon Nationals, spring 2018"
Mt. Mitchell,35.7947291251352,-82.2828592550981,riding,Climbed Mt. Mitchell with the Yale Cycling Team in March 2020
Outer Banks,35.2438788044983,-75.5582590778024,riding,Outer Banks riding with Christoph in March 2021
C&O Canal,39.6256516289975,-78.7642993242368,riding,"Rode from Washington area to Cumberland, MD along the C&O Canal with Christoph in spring 2021. 2.5 days and camped along the way"
Lake Placid,44.2828225235681,-73.9841560995305,race,"My first (and so far only, but hopefully won't stay this way) half ironman in Lake Placid in fall 2018. With some friends from the Yale Triathlon team"
Delaware,39.5433528687946,-75.710795244151,riding,Rode across Delaware with Christoph in spring 2021
New York City,40.9290488088205,-73.8404012798728,riding,"Lea and rode from New Haven to NYC in fall 2019. Didn't quite make it into Manhattan, but
                                did make it to a subway station in the Bronx"
Buzzards Bay,41.7380018039683,-70.6409305709701,race,Buzzards Bay triathlon with the Yale Triathlon team in fall 2017
Virginia,38.1347896093828,-79.0519588467319,riding,Trip with the Yale Cycling Team in spring 2017. The longest rides I had done at the time! Blue Ridge Parkway in Shenandoah and some farmland rolling hills 
Ohio,41.418522299861,-82.3842757387587,race,"Raced a triathlon along the shore of lake Erie in summer 2017. Mom joined in on this one, too"
"Manistique, MI",45.9557694495553,-86.2444038978837,riding,Bike trip with Zack in summer 2020
Northwestern CT,41.7361770243487,-73.466904415352,riding,"Beautiful ride with Christoph starting in Kent with stops at Arethusa farm, Thorncrest Chocolates, and a waterfall"
Philadelphia,39.9824234189243,-75.1489366528096,race,My first race with the Yale Cycling Team in spring 2017
Kentucky,38.0084932444101,-84.678955720641,other,"Drove down to Kentucky to see the solar eclipse in summer 2017. Picture of ""dusk"" at 2pm"
Ithaca,42.4517917487361,-76.5412846739177,other,Beautiful! Fall 2020
Appalachian Trail,39.719765324655,-77.5067406118646,other,Hiked the Maryland section with Christoph in fall 2020
Tahquamenon Falls,46.5746308105933,-85.2567307183304,other,So cold that the waterfall was partially frozen. I didn't even know that waterfalls could freeze. Wow. Winter 2021
Pictured Rocks,46.5599871789628,-86.3980874060873,other,Pictured Rocks hike with Zack in summer 2020
"Estes Park, CO",40.3778397742101,-105.506375718431,riding,Absolutely fell in love with Colorado during the trip w/ family in June 2021. Went outdoor rock climbing and rode around on a rented bike. Hopefully I can return someday soon.
Rocky Mountain National Park,40.3618449309386,-105.79089991823,other,"Colorado is so beautiful. Hike with family, June 2021"
"Glenwood Springs, CO",39.5484889485424,-107.330505573017,other,White water rafting with family in June 2021!
California Hills,37.2179222287286,-122.006988949731,riding,Moutain bike ride! Lea's mom was kind enough to take me out on her local trail on my one afternoon visiting Los Gatos in July 2021.
Nevada,38.855682988148,-119.791191549893,riding,Crossed the Nevada border after a beautiful ride up Ebbett's and Pacific Grade Passes in the Sierra Nevadas. With Lea on the 4th of July 2021.
Zion,37.2618757176981,-112.95098853697,other,Hiking in Zion National Park with Christoph in October 2021. Hiked Angels Landing and the Narrows.
Entering Colorado,37.8086602009574,-109.038791420374,riding,Entering Colorado during Utah bike tour with Christoph in October 2021
Utah,37.8470475999056,-111.42846352237,riding,Bike touring Utah with Christoph in October 2021 - incredible! A new landscape around every corner
Vermont,42.8995165818219,-72.9125879445387,other,"Winter getaway weekend (February 2022) with Christoph in Wilmington, VT - beautiful hike and learned to downhill ski!"